0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,% Asian-alone,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,CI90LBINC_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total Hospitals (2019),Percent of Population Aged 60+,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code,age_60_80
13.35740072,13.35740072,10.10830325,13.35740072,9.386281588,14.07942238,6.498194946,95.66787004,0.0,0.0,10.6,0.0,10.6,0.0,51453.0,57925.0,95.5,0.005047446,11.1,8.3,7.4,9.3,8.0,6.7,9.3,12.0,13.0,3.2,2.9,3.5,6.0,19.855595666
10.562249,11.16465863,14.32396252,14.27041499,13.03882195,15.16733601,3.219544846,74.28380187,0.742971888,4630.0,9.3,15.2,-5.9,1.1,41423.0,45906.0,82.8,0.152210457,20.9,9.8,9.0,10.7,11.4,10.1,12.7,14.6,15.4,3.6,3.4,3.9,6.0,18.253012044
11.158175,12.69514704,11.35180927,11.03715358,12.47730848,13.82064625,4.514098996,93.93682682,0.508289967,177.0,10.2,11.4,-1.2,0.0,40264.0,44688.0,85.3,0.140360945,25.8,10.4,9.5,11.4,12.8,11.1,14.6,14.9,16.0,3.7,3.4,4.0,6.0,22.945661378
11.27341347,14.27523064,11.41668996,11.6927593,13.05213866,14.14942689,3.662286833,72.56779424,0.629018731,288.0,7.9,10.1,-2.2,0.0,49679.0,55737.0,95.1,0.394441738,22.2,8.2,7.5,8.9,9.2,8.0,10.4,14.4,15.4,3.5,3.3,3.7,4.0,20.478054236
7.302728312,9.753308283,8.086913903,11.90981866,16.4188858,19.39225617,1.780754779,93.41610848,1.584708381,49.0,7.4,4.4,3.0,-0.3,65244.0,72949.0,101.4,0.095647946,27.3,5.6,5.0,6.3,5.4,4.5,6.4,8.0,8.9,2.6,2.4,2.8,2.0,25.355334098
12.57499759,14.60060105,12.28409784,12.08303477,13.32042822,13.8637263,3.235190315,77.70873662,1.615990931,761.0,12.2,9.2,3.1,0.6,59719.0,65416.0,111.6,1.288841411,20.1,7.2,6.5,7.8,8.3,7.2,9.5,12.4,13.3,3.1,2.9,3.3,2.0,18.037923917
11.25523013,13.07112971,11.37238494,10.05857741,9.548117155,13.72384937,7.347280335,95.56485356,0.418410042,727.0,9.9,11.8,-1.9,0.3,46975.0,51712.0,88.9,0.570512501,29.5,8.5,7.6,9.5,8.2,6.9,9.7,12.5,13.7,3.3,3.0,3.6,6.0,23.623430962
17.77015001,17.53877447,12.61123824,11.24586829,10.88990592,10.93058734,2.962115434,97.90236461,0.450038139,325.0,18.1,6.7,11.5,-0.2,60626.0,67498.0,121.1,0.775800157,18.8,8.0,7.2,8.9,11.4,9.8,13.1,12.5,13.5,3.1,2.8,3.4,6.0,16.051360285
9.686834059,11.44260169,8.850643936,10.28444362,11.03724636,14.08551839,5.318261836,95.71481516,0.599925878,478.0,8.8,10.9,-2.0,-0.5,45296.0,50055.0,90.6,2.275836036,32.7,9.0,8.0,10.0,8.2,6.8,9.7,12.1,13.2,3.6,3.3,3.9,6.0,29.2944501
9.948105688,11.59312146,10.15161279,12.19346742,11.77966964,15.44618933,5.030017298,91.4425262,0.739409151,1654.0,9.0,9.3,-0.3,0.0,46119.0,50387.0,71.7,0.667300223,26.0,8.2,7.4,9.1,7.4,6.3,8.6,11.7,12.6,3.4,3.1,3.7,6.0,23.857816370000002
11.61966156,12.36099919,10.53182917,10.95890411,12.33682514,14.38356164,4.818694601,97.40531829,0.652699436,213.0,11.5,12.2,-0.7,0.6,49199.0,54265.0,97.4,0.244792269,26.2,8.8,8.0,9.7,10.9,9.3,12.4,13.7,14.8,3.3,3.1,3.6,5.0,22.989524572
11.93991745,12.1498376,13.16256046,12.3072777,11.50021985,12.9880998,4.3430776,77.79952626,1.055274244,4988.0,11.2,12.0,-0.9,0.5,42533.0,46195.0,83.3,0.718292763,24.9,9.2,8.5,10.0,11.0,9.7,12.4,14.3,15.2,3.6,3.4,3.9,5.0,21.609009543
17.2652804,13.54757404,14.24070573,13.04347826,11.90926276,14.05166982,1.764335224,23.75551355,3.150598614,37.0,23.8,11.9,11.9,5.0,44030.0,49403.0,65.9,0.045192952,14.5,8.6,7.9,9.2,10.1,9.0,11.2,14.5,15.4,3.7,3.5,3.9,6.0,14.177693762
10.94328358,12.69253731,11.52238806,10.93731343,13.33134328,15.37313433,3.725373134,97.82089552,0.131343284,341.0,10.1,14.9,-4.8,0.1,33840.0,37732.0,75.2,0.393597085,24.1,11.2,10.2,12.3,14.5,12.6,16.6,16.0,17.2,3.8,3.5,4.1,5.0,21.474626861
11.43199503,13.13786246,13.35619585,12.18072418,11.40001691,13.3775146,4.618449539,87.58954793,1.846644686,12129.0,10.7,10.3,0.4,3.2,45988.0,48453.0,79.6,4.227366702,22.8,7.5,6.8,8.4,8.3,7.0,9.8,11.4,12.5,3.1,2.9,3.4,3.0,20.497241426
12.27313779,12.35873876,12.71606393,12.73177053,11.73597204,12.7074253,4.075862881,92.61240036,1.184277693,1084.0,12.1,10.3,1.8,0.2,50555.0,54292.0,85.9,1.8534877,24.4,8.0,7.3,8.8,8.7,7.5,10.1,11.3,12.3,3.3,3.0,3.5,4.0,21.401028779
9.188404178,10.97581411,10.47869072,10.00949562,11.8918617,14.19873764,6.233592135,96.52013629,0.32396805,157.0,8.8,11.6,-2.8,0.2,40570.0,44756.0,83.0,0.19310568,31.8,10.7,9.5,11.9,11.2,9.4,13.1,14.2,15.5,3.9,3.6,4.3,6.0,27.02340389
9.870550162,10.84142395,9.061488673,9.061488673,7.928802589,14.2394822,5.339805825,98.38187702,0.161812298,0.0,9.8,13.1,-3.3,0.0,42431.0,47797.0,80.0,0.029790573,32.0,8.8,7.9,9.7,8.0,6.8,9.2,12.7,13.9,3.5,3.3,3.8,6.0,33.65695793
12.77632517,13.59638697,9.650582363,10.86284763,10.12598051,13.00213929,6.917043024,96.83860233,0.39220347,145.0,12.3,14.2,-1.9,-0.1,36328.0,40639.0,74.7,0.167553422,28.8,10.6,9.5,11.7,11.9,10.1,13.5,15.0,16.2,3.9,3.6,4.2,6.0,23.068695034999998
12.4535316,14.46096654,9.516728625,11.59851301,10.18587361,12.37918216,3.420074349,95.98513011,0.92936803,9.0,9.2,7.8,1.5,5.2,41938.0,47175.0,66.1,0.045952286,26.4,7.4,6.5,8.2,6.7,5.6,7.9,11.3,12.4,3.2,3.0,3.5,6.0,25.985130109
13.19545455,13.78181818,12.15,11.8,11.39090909,12.63181818,5.104545455,94.80909091,1.618181818,690.0,11.7,10.3,1.4,1.2,52570.0,56492.0,94.0,0.822522413,24.5,7.7,7.0,8.6,7.5,6.4,8.8,10.9,11.9,3.1,2.9,3.4,5.0,19.945454542
11.00741594,12.54948138,12.86140201,12.0233502,12.68978303,13.78463697,3.798166057,64.3207897,0.657663978,2942.0,10.4,13.3,-2.9,0.3,38789.0,41630.0,83.5,1.649517346,23.3,9.8,9.1,10.6,11.1,9.8,12.3,16.6,17.6,3.9,3.6,4.1,5.0,21.285764389
10.2276176,11.25948407,10.2276176,7.860394537,9.347496206,14.68892261,9.620637329,96.32776935,0.971168437,56.0,9.1,12.1,-3.0,1.8,43223.0,47976.0,73.5,0.169068397,35.2,10.4,9.3,11.7,8.6,7.2,10.2,13.6,14.9,3.8,3.5,4.2,6.0,26.76783005
11.46953405,10.66308244,8.154121864,9.274193548,9.184587814,12.6344086,8.73655914,98.29749104,0.17921147,40.0,9.3,15.6,-6.2,0.0,49037.0,54250.0,83.1,0.114525239,37.4,9.9,8.7,11.2,7.9,6.4,9.4,12.9,14.2,3.7,3.4,4.1,6.0,29.88351254
10.8815427,12.39669421,6.336088154,11.29476584,8.953168044,13.91184573,8.815426997,94.21487603,0.137741047,53.0,8.1,16.2,-8.1,0.0,42320.0,47625.0,78.5,0.013229045,33.7,9.8,8.7,10.9,9.0,7.4,10.7,14.1,15.3,3.8,3.5,4.2,6.0,27.41046832
13.28079815,12.16020821,10.11422788,10.27327935,9.825043378,13.84470792,6.058415269,95.96587623,0.49161365,230.0,14.2,13.2,0.9,1.4,48672.0,53359.0,88.8,0.517142273,28.7,8.9,8.0,9.9,8.2,6.9,9.6,12.0,13.1,3.4,3.2,3.7,6.0,24.443319840999997
